TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Bari,SSC Bari,Stadio San Nicola,41.0812,16.8267
Palermo,Palermo FC,Stadio Renzo Barbera,38.1483,13.3422
Sudtirol,FC Südtirol,Stadio Druso,46.4926,11.3431
Modena,Modena FC,Stadio Alberto Braglia,44.6485,10.9264
Catanzaro,US Catanzaro 1929,Stadio Nicola Ceravolo,38.9013,16.5967
Reggiana,AC Reggiana 1919,Mapei Stadium – Città del Tricolore,44.7142,10.6407
FeralpiSalo,Feralpisalò,Stadio Lino Turina,45.6099,10.5237
Lecco,Calcio Lecco 1912,Stadio Rigamonti-Ceppi,45.8579,9.3947
Juve Stabia,SS Juve Stabia,Stadio Romeo Menti,40.7052,14.4842
Cesena,Cesena FC,Stadio Dino Manuzzi,44.1372,12.2533
Carrarese,Carrarese Calcio 1908,Stadio dei Marmi,44.0761,10.0811
Mantova,Mantova 1911,Stadio Danilo Martelli,45.1608,10.7946
Pescara,Delfino Pescara 1936,Stadio Adriatico – Giovanni Cornacchia,42.4599,14.2206
Padova,Calcio Padova,Stadio Euganeo,45.4232,11.8444
Virtus Entella,Virtus Entella,Stadio Comunale Chiavari,44.3177,9.3317
Avellino,US Avellino 1912,Stadio Partenio-Adriano Lombardi,40.9204,14.7883
Chievo,AC ChievoVerona,Stadio Marcantonio Bentegodi,45.4353,10.9689
Go Ahead Eagles,Go Ahead Eagles,De Adelaarshorst,52.2563,6.1864
Heerenveen,SC Heerenveen,Abe Lenstra Stadion,52.9427,5.9402
Waalwijk,RKC Waalwijk,Mandemakers Stadion,51.6869,5.0494
