TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Southampton,Southampton FC,St Mary's Stadium,50.9058,-1.3911
Leicester,Leicester City,King Power Stadium,52.6203,-1.1422
Wolves,Wolverhampton Wanderers,Molineux Stadium,52.5903,-2.1304
Watford,Watford FC,Vicarage Road,51.6498,-0.4016
Aston Villa,Aston Villa,Villa Park,52.5094,-1.8847
Norwich,Norwich City,Carrow Road,52.6226,1.309
Liverpool,Liverpool FC,Anfield,53.4308,-2.9608
Newcastle,Newcastle United,St James' Park,54.9756,-1.6217
West Ham,West Ham United,London Stadium,51.5387,-0.0166
Tottenham,Tottenham Hotspur,Tottenham Hotspur Stadium,51.6043,-0.0664
Man City,Manchester City,Etihad Stadium,53.4831,-2.2004
Fulham,Fulham FC,Craven Cottage,51.4749,-0.2216
Bournemouth,AFC Bournemouth,Vitality Stadium,50.7352,-1.838
Nott'm Forest,Nottingham Forest,City Ground,52.9399,-1.1325
Luton,Luton Town,Kenilworth Road,51.884,-0.4313
Sheffield United,Sheffield United,Bramall Lane,53.3703,-1.47
Ipswich,Ipswich Town,Portman Road,52.0557,1.144
Sunderland,Sunderland,Stadium of Light,54.9145,-1.3883
West Brom,West Bromwich Albion,The Hawthorns,52.509,-1.9637
Blackburn,Blackburn Rovers,Ewood Park,53.7286,-2.4898
