TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Bolton,Bolton Wanderers F.C.,Toughsheet Community Stadium,53.58056,-2.53556
Milton Keynes Dons,Milton Keynes Dons F.C.,Stadium MK,52.00944,-0.73333
Cambridge,Cambridge United F.C.,Abbey Stadium,52.2114,0.153
Crewe,Crewe Alexandra F.C.,Mornflake Stadium (Gresty Road),53.08578,-2.43478
Cheltenham,Cheltenham Town F.C.,Completely-Suzuki Stadium (Whaddon Road),51.9037,-2.0561
Doncaster,Doncaster Rovers F.C.,Eco-Power Stadium,53.50972,-1.11389
AFC Wimbledon,AFC Wimbledon,Cherry Red Records Stadium (Plough Lane),51.4237,-0.1871
Fleetwood Town,Fleetwood Town F.C.,Highbury Stadium,53.9099,-3.0215
Gillingham,Gillingham F.C.,MEMS Priestfield Stadium,51.384399,0.560367
Lincoln,Lincoln City F.C.,LNER Stadium (Sincil Bank),53.21831,-0.54088
Morecambe,Morecambe F.C.,Mazuma Mobile Stadium,54.0615,-2.8672
Shrewsbury,Shrewsbury Town F.C.,Croud Meadow (New Meadow),52.68862,-2.74933
Burton,Burton Albion F.C.,Pirelli Stadium,52.82187,-1.62688
Accrington,Accrington Stanley F.C.,Wham Stadium (Crown Ground),53.76528,-2.37083
Bristol Rvs,Bristol Rovers F.C.,Memorial Stadium,51.48626,-2.58321
Forest Green,Forest Green Rovers F.C.,The Bolt New Lawn (The New Lawn),51.69889,-2.23778
Exeter,Exeter City F.C.,St James Park,50.7251,-3.5194
Port Vale,Port Vale F.C.,Vale Park,53.05,-2.1926
Carlisle,Carlisle United F.C.,Brunton Park,54.8954,-2.9126
Leyton Orient,Leyton Orient F.C.,Gaughan Group Stadium (Brisbane Road),51.5619,-0.0115
