TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Alanyaspor,Alanyaspor,Bahçeşehir Okulları Stadium,36.5591,31.99
Ad. Demirspor,Adana Demirspor,New Adana Stadium,36.9919,35.3534
Fenerbahce,Fenerbahçe SK,Şükrü Saracoğlu Stadium,40.9878,29.0362
Antalyaspor,Antalyaspor,Antalya Stadium,36.8922,30.6765
Goztep,Göztepe SK,Gürsel Aksel Stadium,38.3964,27.0697
Sivasspor,Sivasspor,Sivas 4 Eylül Stadium,39.7453,37.0206
Konyaspor,Konyaspor,Konya Büyükşehir Stadium,37.943,32.53
Yeni Malatyaspor,Yeni Malatyaspor,New Malatya Stadium,38.3667,38.3333
Trabzonspor,Trabzonspor,Şenol Güneş Sports Complex,40.9956,39.735
Giresunspor,Giresunspor,Çotanak Sports Complex,40.9125,38.395
Galatasaray,Galatasaray SK,Rams Park (Türk Telekom Arena),41.1056,28.9911
Istanbulspor,İstanbulspor,Esenyurt Necmi Kadıoğlu Stadium,41.0382,28.6795
Ankaragucu,MKE Ankaragücü,Eryaman Stadium,39.9732,32.7308
Umraniyespor,Ümraniyespor,Ümraniye Belediyesi Şehir Stadium,41.0164,29.1235
Pendikspor,Pendikspor,Pendik Stadium,40.8746,29.2398
Samsunspor,Samsunspor,Samsun 19 Mayıs Stadium,41.3115,36.3
Eyupspor,Eyüpspor,Eyüp Stadium,41.0672,28.9367
Bodrumspor,Bodrum FK,Bodrum İlçe Stadium,37.0344,27.4297
Genclerbirligi,Gençlerbirliği SK,Eryaman Stadium (shared),39.9732,32.7308
Kocaelispor,Kocaelispor,Kocaeli Stadium,40.805,29.948
