TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Westerlo,KVC Westerlo,Het Kuipje,51.0904,4.9207
RWD Molenbeek,RWD Molenbeek,Stade Edmond Machtens,50.8713,4.3108
Dender,FCV Dender EH,Florent Beeckmanstadion,50.8878,4.0761
RAAL La Louviere,RAAL La Louvière,Stade du Tivoli,50.4806,4.1829
Mouscron,Royal Excel Mouscron,Stade Le Canonnier,50.7423,3.2228
Waasland-Beveren,Waasland-Beveren,Freethiel Stadion,51.2169,4.2664
M'gladbach,Borussia Mönchengladbach,Borussia-Park,51.1746,6.3853
Bayern Munich,FC Bayern München,Allianz Arena,48.2188,11.6247
Augsburg,FC Augsburg,WWK Arena,48.3204,10.8932
Hoffenheim,TSG 1899 Hoffenheim,PreZero Arena,49.2392,8.8876
Bielefeld,Arminia Bielefeld,SchücoArena,52.0227,8.5326
Freiburg,SC Freiburg,Europa-Park Stadion,48.0015,7.8447
Stuttgart,VfB Stuttgart,Mercedes-Benz Arena,48.7926,9.2315
Greuther Furth,SpVgg Greuther Fürth,Sportpark Ronhof Thomas Sommer,49.4979,10.9923
Union Berlin,1. FC Union Berlin,Stadion An der Alten Försterei,52.4578,13.5683
Leverkusen,Bayer 04 Leverkusen,BayArena,51.0381,7.0026
Wolfsburg,VfL Wolfsburg,Volkswagen Arena,52.4329,10.8033
Bochum,VfL Bochum,Vonovia Ruhrstadion,51.4869,7.2394
Dortmund,Borussia Dortmund,Signal Iduna Park,51.4926,7.4519
Ein Frankfurt,Eintracht Frankfurt,Deutsche Bank Park,50.0686,8.6452
