TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Swansea,Swansea City,Swansea.com Stadium,51.6423,-3.936
Bristol City,Bristol City,Ashton Gate Stadium,51.4409,-2.6203
Blackpool,Blackpool FC,Bloomfield Road,53.8047,-3.0486
Cardiff,Cardiff City,Cardiff City Stadium,51.4728,-3.203
Barnsley,Barnsley FC,Oakwell Stadium,53.5526,-1.4635
Derby,Derby County,Pride Park Stadium,52.9148,-1.4473
Huddersfield,Huddersfield Town,John Smith's Stadium,53.6541,-1.7684
Peterboro,Peterborough United,Weston Homes Stadium,52.5647,-0.2406
Preston,Preston North End,Deepdale Stadium,53.7727,-2.6889
Hull,Hull City,MKM Stadium,53.7468,-0.3676
QPR,Queens Park Rangers,Loftus Road Stadium,51.509,-0.2322
Millwall,Millwall FC,The Den,51.4852,-0.0503
Stoke,Stoke City,bet365 Stadium,52.9882,-2.1754
Reading,Reading FC,Select Car Leasing Stadium,51.4223,-0.9823
Birmingham,Birmingham City,St Andrew's Stadium,52.475,-1.8686
Middlesbrough,Middlesbrough FC,Riverside Stadium,54.5803,-1.2166
Coventry,Coventry City,Coventry Building Society Arena,52.4496,-1.4952
Rotherham,Rotherham United,AESSEAL New York Stadium,53.428,-1.3614
Wigan,Wigan Athletic,DW Stadium,53.547,-2.6538
Sheffield Weds,Sheffield Wednesday,Hillsborough Stadium,53.4115,-1.5009
