TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Mainz,1. FSV Mainz 05,MEWA Arena,49.984,8.2675
RB Leipzig,RB Leipzig,Red Bull Arena,51.3455,12.3484
FC Koln,1. FC Köln,RheinEnergieStadion,50.9335,6.875
Hertha,Hertha BSC,Olympiastadion Berlin,52.5147,13.2395
Werder Bremen,SV Werder Bremen,Wohninvest WESERSTADION,53.0652,8.8379
Schalke 04,FC Schalke 04,VELTINS-Arena,51.5547,7.0676
Heidenheim,1. FC Heidenheim,Voith-Arena,48.695,10.151
Darmstadt,SV Darmstadt 98,Merck-Stadion am Böllenfalltor,49.8608,8.6731
Holstein Kiel,Holstein Kiel,Holstein-Stadion,54.3334,10.1581
St Pauli,FC St. Pauli,Millerntor-Stadion,53.554,9.9671
Hamburg,Hamburger SV,Volksparkstadion,53.5874,9.898
Regensburg,SSV Jahn Regensburg,Jahnstadion Regensburg,49.0079,12.0941
Dresden,Dynamo Dresden,Rudolf-Harbig-Stadion,51.0403,13.7661
Ingolstadt,FC Ingolstadt 04,Audi Sportpark,48.7426,11.4571
Hansa Rostock,Hansa Rostock,Ostseestadion,54.0864,12.1016
Karlsruhe,Karlsruher SC,BBBank Wildpark,49.0217,8.4165
Paderborn,SC Paderborn 07,Home Deluxe Arena,51.7132,8.6972
Hannover,Hannover 96,HDI-Arena,52.3602,9.7323
Nurnberg,1. FC Nürnberg,Max-Morlock-Stadion,49.4268,11.1285
Erzgebirge Aue,FC Erzgebirge Aue,Erzgebirgsstadion,50.5967,12.7184
