TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Lecce,US Lecce,Stadio Via del Mare,40.365,18.2087
Monza,AC Monza,U-Power Stadium,45.5839,9.2749
Cremonese,US Cremonese,Stadio Giovanni Zini,45.1382,10.0337
Frosinone,Frosinone Calcio,Stadio Benito Stirpe,41.6347,13.3387
Parma,Parma Calcio 1913,Stadio Ennio Tardini,44.8048,10.3403
Como,Como 1907,Stadio Giuseppe Sinigaglia,45.8144,9.0744
Pisa,Pisa Sporting Club,Arena Garibaldi – Stadio Romeo Anconetani,43.7166,10.4033
Crotone,FC Crotone,Stadio Ezio Scida,39.0799,17.1275
Benevento,Benevento Calcio,Stadio Ciro Vigorito,41.1221,14.7923
Pordenone,Pordenone Calcio,Stadio Guido Teghil (Lignano Sabbiadoro),45.6794,13.11
Perugia,AC Perugia Calcio,Stadio Renato Curi,43.0994,12.3494
Cittadella,AS Cittadella,Stadio Pier Cesare Tombolato,45.6474,11.7861
Vicenza,LR Vicenza,Stadio Romeo Menti,45.5443,11.5419
Reggina,Reggina 1914,Stadio Oreste Granillo,38.0967,15.6419
Ternana,Ternana Calcio,Stadio Libero Liberati,42.5561,12.6527
Brescia,Brescia Calcio,Stadio Mario Rigamonti,45.5832,10.2267
Ascoli,Ascoli Calcio 1898,Stadio Cino e Lillo Del Duca,42.8587,13.5949
Cosenza,Cosenza Calcio,Stadio San Vito-Gigi Marulla,39.3033,16.2588
Alessandria,US Alessandria Calcio 1912,Stadio Giuseppe Moccagatta,44.9086,8.6275
Spal,SPAL Ferrara,Stadio Paolo Mazza,44.8386,11.6142
