TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Denizlispor,Denizlispor,Denizli Atatürk Stadium,37.7761,29.0854
Erzurum BB,BB Erzurumspor,Kazım Karabekir Stadium,39.9291,41.2792
Standard,Standard Liège,Stade Maurice Dufrasne,50.6056,5.5689
Genk,KRC Genk,Cegeka Arena,50.9645,5.5019
Oud-Heverlee Leuven,Oud-Heverlee Leuven,King Power at Den Dreef Stadium,50.8829,4.6926
Waregem,SV Zulte Waregem,Regenboogstadion,50.9324,3.4351
Kortrijk,KV Kortrijk,Guldensporen Stadion,50.8285,3.2781
Seraing,RFC Seraing,Stade du Pairay,50.6043,5.5036
Oostende,KV Oostende,Diaz Arena,51.2149,2.9194
Charleroi,Sporting Charleroi,Stade du Pays de Charleroi,50.4057,4.4616
Mechelen,KV Mechelen,Achter de Kazerne,51.0293,4.4786
Antwerp,Royal Antwerp FC,Bosuilstadion,51.2498,4.4626
Club Brugge,Club Brugge KV,Jan Breydel Stadium,51.1869,3.16
Eupen,KAS Eupen,Kehrwegstadion,50.6286,6.0354
Anderlecht,RSC Anderlecht,Lotto Park,50.8303,4.297
St. Gilloise,Union Saint-Gilloise,Stade Joseph Marien,50.8142,4.3724
St Truiden,Sint-Truiden VV,Staaien,50.8146,5.1867
Gent,KAA Gent,Ghelamco Arena,51.0362,3.7408
Beerschot VA,Beerschot VA,Olympisch Stadion,51.1938,4.4029
Cercle Brugge,Cercle Brugge KSV,Jan Breydel Stadium,51.1869,3.16
