TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Amiens,Amiens SC,Stade de la Licorne,49.9040,2.2680
Caen,Stade Malherbe Caen,Stade Michel-d’Ornano,49.1828,-0.3900
Rodez,Rodez AF,Stade Paul-Lignon,44.3596,2.5801
Dunkerque,USL Dunkerque,Stade Marcel-Tribut,51.0355,2.3779
Quevilly Rouen,Quevilly-Rouen Métropole,Stade Robert-Diochon,49.4146,1.0589
Grenoble,Grenoble Foot 38,Stade des Alpes,45.1885,5.7312
Guingamp,En Avant Guingamp,Stade du Roudourou,48.5660,-3.1395
Pau FC,Pau Football Club,Stade Nouste Camp,43.3106,-0.3666
Nancy,AS Nancy Lorraine,Stade Marcel-Picot,48.6939,6.2116
Valenciennes,Valenciennes FC,Stade du Hainaut,50.3529,3.5207
Niort,Chamois Niortais FC,Stade René-Gaillard,46.3152,-0.4919
Sochaux,FC Sochaux-Montbéliard,Stade Auguste-Bonal,47.5123,6.8181
Annecy,FC Annecy,Parc des Sports,45.9192,6.1419
Laval,Stade Lavallois,Stade Francis-Le-Basser,48.0700,-0.7707
Concarneau,US Concarneau,Stade Guy-Piriou,47.8897,-3.9207
Red Star,Red Star FC,Stade Bauer,48.9116,2.3485
Martigues,FC Martigues,Stade Francis-Turcan,43.4025,5.0474
Le Mans,Le Mans FC,Stade Marie-Marvingt,48.0194,0.1765
Boulogne,US Boulogne,Stade de la Libération,50.7239,1.6065
Chateauroux,LB Châteauroux,Stade Gaston-Petit,46.8006,1.7055
