TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Northampton,Northampton Town F.C.,Sixfields Stadium,52.2365,-0.9333
Stevenage,Stevenage F.C.,The Lamex Stadium,51.8897,-0.1938
Mansfield,Mansfield Town F.C.,One Call Stadium,53.1435,-1.1955
Crawley Town,Crawley Town F.C.,Broadfield Stadium,51.0996,-0.1903
Stockport,Stockport County F.C.,Edgeley Park,53.3985,-2.1635
Bradford,Bradford City A.F.C.,University of Bradford Stadium (Valley Parade),53.8049,-1.7593
Swindon,Swindon Town F.C.,The County Ground,51.5646,-1.7713
Rochdale,Rochdale A.F.C.,Crown Oil Arena (Spotland Stadium),53.6207,-2.1795
Colchester,Colchester United F.C.,JobServe Community Stadium,51.9239,0.8976
Sutton,Sutton United F.C.,Gander Green Lane,51.3653,-0.1913
Harrogate,Harrogate Town A.F.C.,EnviroVent Stadium (Wetherby Road),53.9856,-1.5238
Hartlepool,Hartlepool United F.C.,Victoria Park,54.6883,-1.2123
Oldham,Oldham Athletic A.F.C.,Boundary Park,53.5553,-2.1289
Newport County,Newport County A.F.C.,Rodney Parade,51.5894,-2.9933
Salford,Salford City F.C.,Moor Lane (Peninsula Stadium),53.5183,-2.2641
Scunthorpe,Scunthorpe United F.C.,Glanford Park,53.5863,-0.6833
Barrow,Barrow A.F.C.,SO Legal Stadium (Holker Street),54.1181,-3.2299
Tranmere,Tranmere Rovers F.C.,Prenton Park,53.3736,-3.0342
Walsall,Walsall F.C.,Poundland Bescot Stadium,52.5658,-1.9907
Grimsby,Grimsby Town F.C.,Blundell Park,53.5717,-0.0509
