TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Andorra,FC Andorra,Estadi Nacional d'Andorra,42.5073,1.5218
Albacete,Albacete Balompié,Estadio Carlos Belmonte,38.9848,-1.8441
Ferrol,Racing de Ferrol,Estadio da Malata,43.4956,-8.2416
Eldense,CD Eldense,Estadio Nuevo Pepico Amat,38.4667,-0.7967
Cordoba,Córdoba CF,Estadio Nuevo Arcángel,37.8542,-4.7395
Castellon,CD Castellón,Estadio Nou Castàlia,39.9884,-0.0444
La Coruna,Deportivo La Coruña,Estadio Riazor,43.3682,-8.4129
Cultural Leonesa,Cultural y Deportiva Leonesa,Estadio Reino de León,42.5987,-5.5713
Ceuta,AD Ceuta FC,Estadio Alfonso Murube,35.889,-5.307
Logrones,UD Logroñés,Estadio Las Gaunas,42.4558,-2.4492
Sabadell,CE Sabadell,Estadio Nova Creu Alta,41.546,2.1084
Besiktas,Beşiktaş JK,Vodafone Park,41.0391,28.9946
Rizespor,Çaykur Rizespor,Çaykur Didi Stadium,41.0303,40.5172
Karagumruk,Fatih Karagümrük SK,Atatürk Olympic Stadium,41.0789,28.7652
Gaziantep,Gaziantep FK,Kalyon Stadyumu,37.039,37.3437
Altay,Altay SK,Alsancak Mustafa Denizli Stadyumu,38.4425,27.1419
Kayserispor,Kayserispor,RH Stadium (Kadir Has Stadyumu),38.745,35.483
Hatayspor,Hatayspor,Mersin Stadyumu (temporary),36.8126,34.5986
Kasimpasa,Kasımpaşa SK,Recep Tayyip Erdoğan Stadium,41.0291,28.9608
Buyuksehyr,İstanbul Başakşehir FK,Fatih Terim Stadium,41.1011,28.8029
