TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Gateshead,Gateshead F.C.,Gateshead International Stadium,54.9633,-1.5881
Dorking,Dorking Wanderers F.C.,Meadowbank Stadium,51.2364,-0.3338
York,York City F.C.,York Community Stadium,53.9826,-1.0589
Oxford City,Oxford City F.C.,Court Place Farm,51.7767,-1.2169
Kidderminster,Kidderminster Harriers F.C.,Aggborough Stadium,52.3882,-2.2423
Fylde,AFC Fylde,Mill Farm Stadium,53.7807,-2.9447
Ebbsfleet,Ebbsfleet United F.C.,Kuflink Stadium (Stonebridge Road),51.4459,0.3537
Boston Utd,Boston United F.C.,Jakemans Community Stadium,52.9735,-0.0228
Braintree Town,Braintree Town F.C.,Cressing Road,51.8688,0.5721
Tamworth,Tamworth F.C.,The Lamb Ground,52.6337,-1.6822
Brackley Town,Brackley Town F.C.,St. James Park,52.0313,-1.1463
Truro,Truro City F.C.,Treyew Road (temporary at Bolitho Park),50.3988,-4.1593
Monaco,AS Monaco FC,Stade Louis II,43.7276,7.4156
Nantes,FC Nantes,Stade de la Beaujoire,47.2569,-1.5259
Lyon,Olympique Lyonnais,Groupama Stadium,45.7653,4.9826
Brest,Stade Brestois 29,Stade Francis-Le Blé,48.3904,-4.4792
Troyes,ES Troyes AC,Stade de l’Aube,48.3178,4.1019
Paris SG,Paris Saint-Germain F.C.,Parc des Princes,48.8414,2.253
Rennes,Stade Rennais F.C.,Roazhon Park,48.1032,-1.7125
Lens,RC Lens,Stade Bollaert-Delelis,50.4328,2.8265
