TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Bordeaux,FC Gironde de Bordeaux,Matmut Atlantique,44.8976,-0.564
Clermont,Clermont Foot 63,Stade Gabriel Montpied,45.8083,3.1386
Nice,OGC Nice,Allianz Riviera,43.705,7.1925
Reims,Stade de Reims,Stade Auguste-Delaune,49.2582,4.0245
St Etienne,AS Saint-Étienne,Stade Geoffroy-Guichard,45.4607,4.3903
Lorient,FC Lorient,Stade du Moustoir,47.7471,-3.3666
Strasbourg,RC Strasbourg Alsace,Stade de la Meinau,48.56,7.7633
Angers,Angers SCO,Stade Raymond-Kopa,47.4785,-0.5632
Metz,FC Metz,Stade Saint-Symphorien,49.1046,6.168
Lille,LOSC Lille,Decathlon Arena – Stade Pierre-Mauroy,50.611,3.1308
Montpellier,Montpellier HSC,Stade de la Mosson,43.6131,3.8181
Marseille,Olympique de Marseille,Stade Vélodrome,43.2699,5.3959
Ajaccio,AC Ajaccio,Stade François-Coty,41.9186,8.783
Toulouse,Toulouse FC,Stadium de Toulouse,43.5833,1.434
Auxerre,AJ Auxerre,Stade de l’Abbé-Deschamps,47.7969,3.5957
Le Havre,Le Havre AC,Stade Océane,49.5057,0.1767
Paris FC,Paris Football Club,Stade Charléty,48.8213,2.3453
Dijon,Dijon FCO,Stade Gaston-Gérard,47.3336,5.0688
Nimes,Nîmes Olympique,Stade des Costières,43.8209,4.3689
Bastia,SC Bastia,Stade Armand-Cesari (Furiani),42.6572,9.4375
