TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Chesterfield,Chesterfield F.C.,SMH Group Stadium (Proact Stadium),53.2531,-1.4268
Bromley,Bromley F.C.,Hayes Lane,51.3903,0.0171
Barnet,Barnet F.C.,The Hive Stadium,51.5957,-0.2791
Southend,Southend United F.C.,Roots Hall,51.5482,0.7011
Aldershot,Aldershot Town F.C.,EBB Stadium at the Recreation Ground,51.2481,-0.7582
Halifax,FC Halifax Town,The Shay Stadium,53.7156,-1.8636
Maidenhead,Maidenhead United F.C.,York Road,51.5196,-0.7226
Kings Lynn,King’s Lynn Town F.C.,The Walks Stadium,52.7516,0.4082
Solihull,Solihull Moors F.C.,ARMCO Arena (Damson Park),52.4403,-1.7774
Dag and Red,Dagenham & Redbridge F.C.,Chigwell Construction Stadium (Victoria Road),51.5593,0.1593
Torquay,Torquay United F.C.,Plainmoor,50.4795,-3.5217
Altrincham,Altrincham F.C.,The J. Davidson Stadium (Moss Lane),53.3872,-2.3359
Wealdstone,Wealdstone F.C.,Grosvenor Vale,51.5603,-0.3657
Woking,Woking F.C.,The Laithwaite Community Stadium (Kingfield Stadium),51.3075,-0.5566
Weymouth,Weymouth F.C.,Bob Lucas Stadium,50.6239,-2.4795
Boreham Wood,Boreham Wood F.C.,Meadow Park,51.6605,-0.2641
Eastleigh,Eastleigh F.C.,Silverlake Stadium,50.9613,-1.3614
Dover Athletic,Dover Athletic F.C.,Crabble Athletic Ground,51.1447,1.2931
Yeovil,Yeovil Town F.C.,Huish Park,50.9507,-2.6642
Maidstone,Maidstone United F.C.,Gallagher Stadium,51.2819,0.5188
