TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
AZ Alkmaar,AZ Alkmaar,AFAS Stadion,52.6127,4.7398
Heracles,Heracles Almelo,Erve Asito,52.3494,6.6623
PSV Eindhoven,PSV Eindhoven,Philips Stadion,51.4416,5.4676
For Sittard,Fortuna Sittard,Fortuna Sittard Stadion,50.9902,5.8545
Twente,FC Twente,De Grolsch Veste,52.223,6.8392
Ajax,AFC Ajax,Johan Cruijff ArenA,52.3142,4.9413
Nijmegen,NEC Nijmegen,Goffertstadion,51.8217,5.8325
Cambuur,SC Cambuur,Cambuurstadion,53.206,5.8246
Groningen,FC Groningen,Euroborg,53.2046,6.5859
Utrecht,FC Utrecht,Stadion Galgenwaard,52.0657,5.1311
Sparta Rotterdam,Sparta Rotterdam,Het Kasteel,51.9126,4.4332
Zwolle,PEC Zwolle,MAC³PARK Stadion,52.5124,6.0912
Vitesse,SBV Vitesse,GelreDome,51.9757,5.9037
Willem II,Willem II Tilburg,Koning Willem II Stadion,51.5596,5.0738
Feyenoord,Feyenoord Rotterdam,Stadion Feijenoord (De Kuip),51.8939,4.5231
Excelsior,Excelsior Rotterdam,Van Donge & De Roo Stadion,51.9175,4.5207
FC Emmen,FC Emmen,De Oude Meerdijk,52.7573,6.9372
Volendam,FC Volendam,Kras Stadion,52.4943,5.0733
Almere City,Almere City FC,Yanmar Stadion,52.3705,5.2173
NAC Breda,NAC Breda,Rat Verlegh Stadion,51.594,4.7492
