TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Chambly,FC Chambly Oise,Stade des Marais,49.1744,2.2582
Panetolikos,Panetolikos FC,Panetolikos Stadium,38.6269,21.4058
Asteras Tripolis,Asteras Tripolis FC,Theodoros Kolokotronis Stadium,37.5089,22.3831
Panathinaikos,Panathinaikos FC,Apostolos Nikolaidis Stadium,37.9857,23.7483
Apollon,Apollon Smyrnis,Georgios Kamaras Stadium,38.0083,23.7411
Volos NFC,Volos New Football Club,Panthessaliko Stadium,39.3708,22.9504
Lamia,PAS Lamia 1964,Athanasios Diakos Stadium,38.8958,22.4313
PAOK,PAOK FC,Toumba Stadium,40.6134,22.9721
Giannina,PAS Giannina,National Stadium of Ioannina,39.6667,20.85
AEK,AEK Athens,Agia Sophia Stadium,38.03,23.7347
Ionikos,Ionikos FC,Neapoli Stadium,37.971,23.6476
Olympiakos,Olympiacos FC,Karaiskakis Stadium,37.9466,23.6422
Atromitos,Atromitos FC,Peristeri Stadium,38.0031,23.6925
Aris,Aris Thessaloniki FC,Kleanthis Vikelidis Stadium,40.6137,22.9591
OFI Crete,OFI Crete FC,Theodoros Vardinogiannis Stadium,35.3388,25.1308
Levadeiakos,Levadiakos FC,Levadia Stadium,38.4361,23.5991
Kifisia,Kifisia FC,Municipal Stadium of Kaisariani (Michalis Kakogiannis),37.9683,23.7585
Panserraikos,Panserraikos FC,Serres Municipal Stadium,41.087,23.5441
Athens Kallithea,Athens Kallithea FC,Grigoris Lambrakis Stadium,37.9544,23.7004
Larisa,AE Larisa,AEL FC Arena,39.6168,22.3959
