TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Boavista,Boavista FC,Estádio do Bessa Século XXI,41.1622,-8.6474
Rio Ave,Rio Ave FC,Estádio do Rio Ave FC,41.3513,-8.7384
Casa Pia,Casa Pia AC,Estádio Pina Manique,38.7439,-9.1825
Chaves,GD Chaves,Estádio Municipal Eng. Manuel Branco Teixeira,41.7396,-7.4684
Farense,SC Farense,Estádio de São Luís,37.0186,-7.9301
Estrela,CF Estrela da Amadora,Estádio José Gomes,38.7577,-9.2236
AVS,AVS Futebol SAD,Estádio do CD Aves,41.3437,-8.4303
Nacional,CD Nacional,Estádio da Madeira,32.6829,-16.9206
Alverca,FC Alverca,Estádio do FC Alverca,38.9028,-8.9961
Rangers,Rangers FC,Ibrox Stadium,55.8532,-4.309
Livingston,Livingston FC,Tony Macaroni Arena,55.8865,-3.5221
Dundee,Dundee FC,Dens Park,56.4738,-2.9684
St Mirren,St Mirren FC,The SMiSA Stadium,55.8536,-4.4345
Ross County,Ross County FC,Global Energy Stadium,57.5952,-4.4233
St Johnstone,St Johnstone FC,McDiarmid Park,56.4034,-3.4791
Hearts,Heart of Midlothian FC,Tynecastle Park,55.9398,-3.2322
Celtic,Celtic FC,Celtic Park,55.8497,-4.2055
Aberdeen,Aberdeen FC,Pittodrie Stadium,57.1593,-2.0866
Dundee United,Dundee United FC,Tannadice Park,56.4747,-2.9605
Motherwell,Motherwell FC,Fir Park,55.7782,-3.9803
