TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Inter,FC Internazionale Milano,Stadio Giuseppe Meazza (San Siro),45.4781,9.124
Genoa,Genoa CFC,Stadio Luigi Ferraris,44.4164,8.9525
Verona,Hellas Verona FC,Stadio Marcantonio Bentegodi,45.4354,10.9683
Sassuolo,US Sassuolo Calcio,MAPEI Stadium – Città del Tricolore,44.7133,10.6417
Empoli,Empoli FC,Stadio Carlo Castellani,43.7263,10.9487
Lazio,SS Lazio,Stadio Olimpico,41.9339,12.4545
Torino,Torino FC,Stadio Olimpico Grande Torino,45.0419,7.6503
Atalanta,Atalanta BC,Gewiss Stadium,45.7033,9.6912
Bologna,Bologna FC 1909,Stadio Renato Dall’Ara,44.4904,11.3095
Salernitana,US Salernitana 1919,Stadio Arechi,40.6467,14.8233
Udinese,Udinese Calcio,Dacia Arena,46.0803,13.2
Juventus,Juventus FC,Allianz Stadium,45.1096,7.6413
Napoli,SSC Napoli,Stadio Diego Armando Maradona,40.827,14.193
Venezia,Venezia FC,Stadio Pier Luigi Penzo,45.4213,12.3748
Roma,AS Roma,Stadio Olimpico,41.9339,12.4545
Fiorentina,ACF Fiorentina,Stadio Artemio Franchi,43.7806,11.2828
Cagliari,Cagliari Calcio,Unipol Domus,39.2489,9.1361
Spezia,Spezia Calcio,Stadio Alberto Picco,44.114,9.8219
Sampdoria,UC Sampdoria,Stadio Luigi Ferraris,44.4164,8.9525
Milan,AC Milan,Stadio Giuseppe Meazza (San Siro),45.4781,9.124
