TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Sandhausen,SV Sandhausen,BWT-Stadion am Hardtwald,49.3313,8.6574
Fortuna Dusseldorf,Fortuna Düsseldorf,Merkur Spiel-Arena,51.2694,6.7315
Kaiserslautern,1. FC Kaiserslautern,Fritz-Walter-Stadion,49.4332,7.7757
Magdeburg,1. FC Magdeburg,MDCC-Arena,52.1337,11.6497
Braunschweig,Eintracht Braunschweig,Eintracht-Stadion,52.29,10.541
Elversberg,SV Elversberg,URSAPHARM-Arena,49.3199,7.0609
Osnabruck,VfL Osnabrück,Stadion an der Bremer Brücke,52.2806,8.0384
Wehen,SV Wehen Wiesbaden,BRITA-Arena,50.082,8.2357
Preußen Münster,SC Preußen Münster,Preußenstadion,51.9424,7.6154
Ulm,SSV Ulm 1846,Donaustadion,48.406,9.9856
Wurzburger Kickers,Würzburger Kickers,Flyeralarm Arena,49.7887,9.9513
Brentford,Brentford FC,Gtech Community Stadium,51.4907,-0.2889
Arsenal,Arsenal FC,Emirates Stadium,51.5549,-0.1084
Man United,Manchester United,Old Trafford,53.4631,-2.2913
Leeds,Leeds United,Elland Road,53.7778,-1.5722
Burnley,Burnley FC,Turf Moor,53.7892,-2.2302
Brighton,Brighton & Hove Albion,AMEX Stadium,50.8616,-0.0837
Chelsea,Chelsea FC,Stamford Bridge,51.4817,-0.191
Crystal Palace,Crystal Palace,Selhurst Park,51.3983,-0.0857
Everton,Everton FC,Goodison Park,53.4387,-2.9663
