TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Telstar,SC Telstar,BUKO Stadion,52.4574,4.6503
VVV Venlo,VVV-Venlo,Covebo Stadion – De Koel,51.3614,6.1714
Den Haag,ADO Den Haag,Bingoal Stadion,52.0369,4.3344
Sp Lisbon,Sporting Clube de Portugal,Estádio José Alvalade,38.7611,-9.1606
Vizela,FC Vizela,Estádio do FC Vizela,41.3821,-8.2633
Arouca,FC Arouca,Estádio Municipal de Arouca,40.9307,-8.2486
Estoril,GD Estoril Praia,Estádio António Coimbra da Mota,38.7145,-9.3856
Moreirense,Moreirense FC,Parque Joaquim de Almeida Freitas,41.3769,-8.3522
Benfica,SL Benfica,Estádio da Luz,38.7527,-9.1848
Maritimo,CS Marítimo,Estádio do Marítimo,32.6584,-16.925
Sp Braga,Sporting Clube de Braga,Estádio Municipal de Braga,41.5609,-8.428
Guimaraes,Vitória de Guimarães,Estádio D. Afonso Henriques,41.4455,-8.2905
Portimonense,Portimonense SC,Estádio Municipal de Portimão,37.1379,-8.5377
Tondela,CD Tondela,Estádio João Cardoso,40.5194,-8.0811
Santa Clara,CD Santa Clara,Estádio de São Miguel,37.7421,-25.6629
Porto,FC Porto,Estádio do Dragão,41.1618,-8.5831
Belenenses,CF Os Belenenses,Estádio do Restelo,38.7043,-9.215
Pacos Ferreira,FC Paços de Ferreira,Estádio da Capital do Móvel,41.2751,-8.3891
Famalicao,FC Famalicão,Estádio Municipal 22 de Junho,41.4144,-8.5289
Gil Vicente,Gil Vicente FC,Estádio Cidade de Barcelos,41.5449,-8.6202
