TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Peterhead,Peterhead FC,Balmoor Stadium,57.5012,-1.7901
Kelty Hearts,Kelty Hearts FC,New Central Park,56.0773,-3.4304
FC Edinburgh,FC Edinburgh,Meadowbank Stadium,55.9578,-3.1614
Annan Athletic,Annan Athletic FC,Galabank,54.9885,-3.2632
Stirling,Stirling Albion FC,Forthbank Stadium,56.1183,-3.9183
Edinburgh City,Edinburgh City FC,Meadowbank Stadium,55.9578,-3.1614
Stenhousemuir,Stenhousemuir FC,Ochilview Park,56.0254,-3.8174
Forfar,Forfar Athletic FC,Station Park,56.6464,-2.8902
Albion Rvs,Albion Rovers FC,Cliftonhill,55.8663,-4.0254
Elgin,Elgin City FC,Borough Briggs,57.6505,-3.3097
Stranraer,Stranraer FC,Stair Park,54.9058,-5.0164
Cowdenbeath,Cowdenbeath FC,Central Park,56.1121,-3.3449
Bonnyrigg Rose,Bonnyrigg Rose Athletic FC,New Dundas Park,55.8453,-3.1044
Spartans,The Spartans FC,Ainslie Park,55.9707,-3.2375
East Kilbride,East Kilbride FC,K-Park Training Academy,55.7645,-4.1779
Brechin,Brechin City FC,Glebe Park,56.7297,-2.6559
Valencia,Valencia CF,Mestalla Stadium,39.4745,-0.3584
Getafe,Getafe CF,Coliseum Alfonso Pérez,40.3256,-3.7144
Cadiz,Cádiz CF,Nuevo Mirandilla,36.5022,-6.2734
Levante,Levante UD,Estadi Ciutat de València,39.4945,-0.3648
