TeamName,TeamFullName,StadiumOfficialName,Latitude,Longitude
Mallorca,RCD Mallorca,Estadi Mallorca Son Moix,39.5894,2.6302
Betis,Real Betis Balompié,Estadio Benito Villamarín,37.3564,-5.9819
Alaves,Deportivo Alavés,Mendizorrotza Stadium,42.8373,-2.6884
Real Madrid,Real Madrid CF,Santiago Bernabéu Stadium,40.4531,-3.6883
Osasuna,CA Osasuna,El Sadar Stadium,42.7969,-1.6365
Espanol,RCD Espanyol,Stage Front Stadium,41.3475,2.0757
Celta,RC Celta de Vigo,Abanca Balaídos,42.2092,-8.7396
Ath Madrid,Atlético de Madrid,Cívitas Metropolitano,40.4362,-3.5995
Barcelona,FC Barcelona,Camp Nou,41.3809,2.1228
Sociedad,Real Sociedad,Reale Arena,43.3012,-1.9731
Sevilla,Sevilla FC,Estadio Ramón Sánchez-Pizjuán,37.3831,-5.9706
Vallecano,Rayo Vallecano,Campo de Fútbol de Vallecas,40.3912,-3.6588
Villarreal,Villarreal CF,Estadio de la Cerámica,39.9444,-0.1034
Granada,Granada CF,Estadio Nuevo Los Cármenes,37.1526,-3.5958
Elche,Elche CF,Estadio Manuel Martínez Valero,38.2748,-0.6631
Ath Bilbao,Athletic Club Bilbao,San Mamés Stadium,43.2641,-2.9496
Valladolid,Real Valladolid CF,Estadio José Zorrilla,41.6442,-4.7611
Girona,Girona FC,Estadi Montilivi,41.9616,2.8267
Almeria,UD Almería,Power Horse Stadium,36.8401,-2.435
Las Palmas,UD Las Palmas,Estadio Gran Canaria,28.0999,-15.4562
